prompt_id,category,prompt_text,model_a,model_b,winner,winner_vendor,loser,rationale
11,Malware analysis,You are triaging a suspicious Windows executable. Outline a rapid static and dynamic analysis workflow a SOC malware analyst can complete in under 60 minutes.,GPT-4o,Gemini-2.5-Pro,Gemini-2.5-Pro,Google,GPT-4o,"Provided a more structured triage flow with practical checkpoints for strings, imports, sandbox behavior, and escalation criteria."
12,Cloud security,An alert shows an unusual AWS IAM access key usage from a new geography. Describe investigation and containment steps for a cloud-focused SOC team.,Gemini-3-Flash-Preview,GPT-5.2,GPT-5.2,OpenAI,Gemini-3-Flash-Preview,"Included clearer cloud-native response actions, including key rotation sequencing, CloudTrail pivots, and blast-radius validation."
13,SIEM engineering,"Design a SIEM correlation rule that links suspicious process execution, outbound network traffic, and privilege escalation attempts on the same host within 30 minutes.",Gemini-3.1-Pro-Preview,GPT-4.1-Mini,Gemini-3.1-Pro-Preview,Google,GPT-4.1-Mini,Better multi-signal correlation logic with explicit false-positive controls and tuning guidance.
14,Threat hunting,"Create a threat hunt hypothesis for living-off-the-land binaries (LOLBins) and list the telemetry, pivot fields, and success criteria.",GPT-5.2-High,Gemini-2.5-Flash-Lite,GPT-5.2-High,OpenAI,Gemini-2.5-Flash-Lite,Offered a stronger hypothesis-driven hunt plan with concrete pivot strategy and measurable outcomes.
15,Digital forensics,A compromised endpoint may have credential theft activity. Provide a prioritized forensic collection plan that preserves evidence integrity.,GPT-4.1-Mini,Gemini-3-Flash-Preview,GPT-4.1-Mini,OpenAI,Gemini-3-Flash-Preview,"More complete evidence-preservation guidance, including volatile data order, chain-of-custody notes, and timeline reconstruction priorities."
16,Network security,Explain how to detect command-and-control beaconing using NetFlow data when packet payloads are unavailable.,Gemini-2.5-Pro,GPT-4o,Gemini-2.5-Pro,Google,GPT-4o,"Delivered sharper beaconing heuristics and practical baseline strategy for periodicity, byte patterns, and peer-group deviation."
17,Identity security,"A company suspects password spraying against Microsoft Entra ID. Describe detection logic, triage steps, and hardening actions.",Gemini-2.5-Flash-Lite,GPT-5.2,GPT-5.2,OpenAI,Gemini-2.5-Flash-Lite,Provided stronger identity-focused triage flow with risk-based sign-in analysis and immediate containment recommendations.
18,Detection validation,How should a SOC team validate and continuously test detection rules to reduce drift and maintain coverage over time?,GPT-4o,Gemini-3.1-Pro-Preview,Gemini-3.1-Pro-Preview,Google,GPT-4o,"Presented a better continuous-validation lifecycle, including test datasets, adversary emulation cadence, and KPI tracking."
19,Incident communications,Draft an executive-ready incident update structure for the first 24 hours of a ransomware investigation.,Gemini-3-Flash-Preview,GPT-4.1-Mini,GPT-4.1-Mini,OpenAI,Gemini-3-Flash-Preview,"Produced a clearer executive communication template balancing business impact, confidence levels, and next-step decisions."
20,Security automation,"Propose a SOAR playbook for phishing triage that includes enrichment, decision points, analyst handoff, and post-incident learning.",Gemini-2.5-Pro,GPT-5.2-High,Gemini-2.5-Pro,Google,GPT-5.2-High,"More actionable playbook structure with clear branching logic, automation guardrails, and measurable feedback loops."
